METRIC,APPLIED,FUNDED
Carers,0,0
Disabled people,0,0
Ethnically diverse people,2,2
LGBT+,0,0
Men,0,0
Mental health,0,0
Non-binary people,0,0
Not targeted at a specific group,4,4
Older people (over 55),0,0
"People in school (teachers, governors, support staff etc)",0,0
"People with challenging lives (e.g., those who are socially excluded, those from a low-income household, young people at risk, in care or NEET, carers)",1,1
Pupils in schools,1,1
Religious or Belief Communities,0,0
Women,0,0
Younger people (under 25),0,0
