METRIC,APPLIED,FUNDED
African,2,2
Any other Asian background,3,3
Any other Black background,0,0
Any other background,5,5
Any other mixed/multiple ethnic group,1,1
Any other white background,29,29
Arab,0,0
Asian or Asian British,1,1
Bangladeshi,0,0
Black or Black British,0,0
Caribbean,4,4
Chinese,3,3
Indian,3,3
Kashmiri,0,0
Mixed/ multiple ethnic group,0,0
Other ethnic groups,0,0
Pakistani,2,2
Prefer not to say,56,56
White,0,0
White British,276,276
White English,0,0
White Gypsy or Traveller,0,0
White Irish,3,3
White Northern Irish,0,0
White Scottish,0,0
White Welsh,0,0
White and Asian,1,1
White and Black African,0,0
White and Black Caribbean,2,2
