METRIC,APPLIED,FUNDED
African,0,0
Any other Asian background,0,0
Any other Black background,0,0
Any other background,0,0
Any other mixed/multiple ethnic group,1,1
Any other white background,2,1
Arab,0,0
Asian or Asian British,0,0
Bangladeshi,0,0
Black or Black British,0,0
Caribbean,1,1
Chinese,2,2
Indian,4,4
Kashmiri,0,0
Mixed/ multiple ethnic group,0,0
Other ethnic groups,0,0
Pakistani,0,0
Prefer not to say,0,0
White,1,0
White British,2,2
White English,15,9
White Gypsy or Traveller,0,0
White Irish,0,0
White Northern Irish,0,0
White Scottish,1,0
White Welsh,0,0
White and Asian,0,0
White and Black African,0,0
White and Black Caribbean,0,0
